步行,2024-10-02 13:26:07,false,"步行","0.59","43","00:11:37","94","111","102","110","19:46","9:36","--","--","0.50","0.0","否","00:11:37","1","00:07:03","00:11:37","--","--"
步行,2024-09-21 16:12:23,false,"步行","0.50","46","00:10:51","93","115","104","154","21:56","7:51","--","--","0.44","0.0","否","00:10:51","1","00:05:29","00:10:51","--","--"
跑步,2024-09-17 06:45:38,false,"跑步","0.18","9","00:01:57.1","83","92","132","250","10:55","2:55","--","--","0.69","0.0","否","00:01:57.1","1","00:00:59","00:01:57.1","--","--"
跑步,2024-09-17 00:00:52,false,"跑步","0.29","20","00:01:57.1","154","167","170","236","6:38","3:10","--","--","0.89","0.0","否","00:01:57.1","1","00:01:11","00:01:57.1","--","--"
跑步,2024-09-16 23:47:41,false,"跑步","1.39","57","00:11:36","98","124","158","238","8:22","3:17","--","--","0.76","0.0","否","00:11:36","1","00:06:46","00:11:36","--","--"
跑步,2024-09-16 23:36:43,false,"跑步","0.28","14","00:02:37.6","105","113","152","180","9:27","3:41","--","--","0.70","0.0","否","00:02:37.6","1","00:01:28","00:02:37.6","--","--"
步行,2024-09-14 19:47:08,false,"步行","0.78","62","00:14:12","98","116","106","122","18:16","8:36","--","--","0.52","0.0","否","00:14:12","1","00:09:04","00:14:12","--","--"
步行,2024-09-06 19:52:42,false,"步行","1.42","96","00:21:14","107","115","108","176","14:59","6:54","--","--","0.62","0.0","否","00:21:14","1","00:15:54","00:21:14","--","--"
骑行,2024-09-04 21:27:48,false,"北投區 骑行","16.27","481","00:57:16","140","171","--","--","17.0","29.8","63","60","--","0.0","否","00:04:16.4","11","00:54:59","00:57:16","-1","21"
骑行,2024-09-04 20:25:39,false,"內湖區 骑行","18.61","377","00:48:27","129","169","--","--","23.0","37.9","68","72","--","0.0","否","00:02:57.5","12","00:47:27","00:48:27","-1","22"
骑行,2024-09-04 20:25:19,false,"骑行","0.00","--","00:00:00.3","86","86","--","--","--","--","--","--","--","0.0","否","00:00:00.3","1","00:00:00","00:00:00.3","--","--"
步行,2024-09-04 18:12:07,false,"步行","0.71","51","00:12:11","102","119","106","156","17:05","8:29","--","--","0.55","0.0","否","00:12:11","1","00:08:42","00:12:11","--","--"
骑行,2024-08-28 22:15:17,false,"汐止區 骑行","18.53","488","01:01:46","134","169","--","--","18.0","32.1","90","92","--","0.0","否","00:02:39.1","12","00:58:17","01:01:46","-2","28"
骑行,2024-08-28 19:29:19,false,"內湖區 骑行","30.34","816","02:45:01","115","154","--","--","11.0","31.8","233","235","--","0.0","否","00:03:50.5","19","01:52:26","02:45:01","-3","46"
步行,2024-08-25 19:33:47,false,"內湖區 步行","0.79","57","00:13:36","99","117","106","118","17:10","7:53","--","--","0.55","0.0","否","00:13:36","1","00:08:24","00:13:36","--","--"
骑行,2024-08-21 21:47:57,false,"淡水區 骑行","25.06","577","01:26:50","124","153","--","--","17.3","34.0","134","123","--","0.0","否","00:03:40.6","16","01:24:57","01:26:50","-1","39"
骑行,2024-08-21 19:29:42,false,"中山區 骑行","22.37","466","01:26:09","115","143","--","--","15.6","33.1","129","124","--","0.0","否","00:04:06.1","14","01:19:52","01:26:09","-1","26"
步行,2024-08-16 18:58:40,false,"Walking","0.71","59","00:13:21","98","121","112","138","18:47","8:27","--","--","0.47","0.0","否","00:13:21","1","00:08:16","00:13:21","--","--"
骑行,2024-08-07 21:49:55,false,"Tamsui District Cycling","24.63","540","01:27:32","124","148","--","--","16.9","40.7","107","106","--","0.0","否","00:04:41.4","16","01:24:44","01:27:32","-1","36"
骑行,2024-08-07 20:42:50,false,"Tamsui District Cycling","6.23","176","00:31:32","112","151","--","--","11.9","28.3","55","50","--","0.0","否","00:05:18.6","4","00:28:43","00:31:32","5","31"
骑行,2024-08-07 19:40:12,false,"Zhongshan District Cycling","14.79","267","00:44:59","116","134","--","--","19.7","35.1","59","53","--","0.0","否","00:03:02.2","10","00:43:48","00:44:59","-1","21"
